#SampleID	InputFileName	Description	Location	Habitat	Polymer	Isotope	Backbone	Treatment	Method	Phase
NIOZ164.3.13	515F.Golay83.926R.BC84.fasta	CBW_Nyl	Charles_Brown	Pelagic	Nyl	12C	Hetero	no_UV	Incubation	Disc
NIOZ164.3.14	515F.Golay85.926R.BC86.fasta	CBW_Nyl _UV	Charles_Brown	Pelagic	Nyl	12C	Hetero	UV	Incubation	Disc
NIOZ164.3.15	515F.Golay87.926R.BC88.fasta	CBW_B	Charles_Brown	Pelagic	B	12C	NA	NA 	Incubation	Disc
NIOZ164.4.1	515F.Golay89.926R.BC90.fasta	CBS_PE	Charles_Brown	Benthic	PE	12C	Carbon	no_UV	Incubation	Disc
NIOZ164.4.2	515F.Golay91.926R.BC92.fasta	CBS_PE_UV	Charles_Brown	Benthic	PE	12C	Carbon	UV	Incubation	Disc
NIOZ164.4.3	515F.Golay93.926R.BC94.fasta	CBS_PP	Charles_Brown	Benthic	PP	12C	Carbon	no_UV	Incubation	Disc
NIOZ164.4.4	515F.Golay95.926R.BC96.fasta	CBS_PP_UV	Charles_Brown	Benthic	PP	12C	Carbon	UV	Incubation	Disc
NIOZ164.4.5	515F.Golay97.926R.BC98.fasta	CBS_PE13	Charles_Brown	Benthic	PE	13C	Carbon	no_UV	Incubation	Disc
NIOZ164.4.6	515F.Golay99.926R.BC100.fasta	CBS_PE13_UV	Charles_Brown	Benthic	PE	13C	Carbon	UV	Incubation	Disc
NIOZ164.4.7	515F.Golay101.926R.BC102.fasta	CBS_PP13	Charles_Brown	Benthic	PP	13C	Carbon	no_UV	Incubation	Disc
NIOZ164.4.8	515F.Golay103.926R.BC104.fasta	CBS_PP13_UV	Charles_Brown	Benthic	PP	13C	Carbon	UV	Incubation	Disc
NIOZ164.4.9	515F.Golay105.926R.BC106.fasta	CBS_PS	Charles_Brown	Benthic	PS	12C	Carbon	no_UV	Incubation	Disc
NIOZ164.4.10	515F.Golay107.926R.BC108.fasta	CBS_PS_UV	Charles_Brown	Benthic	PS	12C	Carbon	UV	Incubation	Disc
NIOZ164.4.11	515F.Golay109.926R.BC110.fasta	CBS_PET	Charles_Brown	Benthic	PET	12C	Hetero	no_UV	Incubation	Disc
NIOZ164.4.12	515F.Golay111.926R.BC112.fasta	CBS_PET_UV	Charles_Brown	Benthic	PET	12C	Hetero	UV	Incubation	Disc
NIOZ164.4.13	515F.Golay113.926R.BC114.fasta	CBS_Nyl	Charles_Brown	Benthic	Nyl	12C	Hetero	no_UV	Incubation	Disc
NIOZ164.4.14	515F.Golay115.926R.BC116.fasta	CBS_Nyl _UV	Charles_Brown	Benthic	Nyl	12C	Hetero	UV	Incubation	Disc
NIOZ164.5.1	515F.Golay117.926R.BC118.fasta	CBS_B	Charles_Brown	Benthic	B	12C	NA	NA 	Incubation	Disc
NIOZ164.5.2	515F.Golay119.926R.BC120.fasta	CC_Filt_PE_UV	Crooks_Castle	Unknown	PE	12C	Carbon	UV	Incubation	Filter
NIOZ164.5.3	515F.Golay121.926R.BC122.fasta	CC_Filt_PP	Crooks_Castle	Unknown	PP	12C	Carbon	no_UV	Incubation	Filter
NIOZ164.5.4	515F.Golay123.926R.BC124.fasta	CC_Filt_PE13_UV	Crooks_Castle	Unknown	PE	13C	Carbon	UV	Incubation	Filter
NIOZ164.5.5	515F.Golay125.926R.BC126.fasta	CC_Filt_PP13	Crooks_Castle	Unknown	PP	13C	Carbon	no_UV	Incubation	Filter
NIOZ164.5.6	515F.Golay127.926R.BC128.fasta	CC_Filt_PS	Crooks_Castle	Unknown	PS	12C	Carbon	no_UV	Incubation	Filter
NIOZ164.5.7	515F.Golay129.926R.BC130.fasta	CC_Filt_PS_UV	Crooks_Castle	Unknown	PS	12C	Carbon	UV	Incubation	Filter
NIOZ164.5.8	515F.Golay131.926R.BC132.fasta	CC_Filt_PET	Crooks_Castle	Unknown	PET	12C	Hetero	no_UV	Incubation	Filter
NIOZ164.5.9	515F.Golay133.926R.BC134.fasta	CC_Filt_PET_UV	Crooks_Castle	Unknown	PET	12C	Hetero	UV	Incubation	Filter
NIOZ164.5.10	515F.Golay135.926R.BC136.fasta	CC_Filt_Ny_UV	Crooks_Castle	Unknown	Ny	12C	Hetero	UV	Incubation	Filter
NIOZ164.5.11	515F.Golay137.926R.BC138.fasta	CC_Filt_B	Crooks_Castle	Unknown	B	12C	Hetero	NA 	Incubation	Filter
NIOZ164.6.1	515F.Golay139.926R.BC140.fasta	CB_filt_PE_UV	Charles_Brown	Unknown	PE	12C	Carbon	UV	Incubation	Filter
NIOZ164.6.2	515F.Golay141.926R.BC142.fasta	CB_filt_PP	Charles_Brown	Unknown	PP	12C	Carbon	no_UV	Incubation	Filter
NIOZ164.6.3	515F.Golay143.926R.BC144.fasta	CB_filt_PE13_UV	Charles_Brown	Unknown	PE	13C	Carbon	UV	Incubation	Filter
NIOZ164.6.4	515F.Golay145.926R.BC146.fasta	CB_filt_PP13_UV	Charles_Brown	Unknown	PP	13C	Carbon	UV	Incubation	Filter
NIOZ164.6.5	515F.Golay147.926R.BC148.fasta	CB_filt_PET	Charles_Brown	Unknown	PET	12C	Hetero	no_UV	Incubation	Filter
NIOZ164.6.6	515F.Golay149.926R.BC150.fasta	CB_filt_PET_UV	Charles_Brown	Unknown	PET	12C	Hetero	UV	Incubation	Filter
