"","x"
"230","Hungateiclostridiaceae"
"231","Hydrogenedensaceae"
"232","Hydrogenophilaceae"
"233","Hymenobacteraceae"
"234","Hyphomicrobiaceae"
"235","Hyphomonadaceae"
"236","Iamiaceae"
"237","Idiomarinaceae"
"238","Ignavibacteriaceae"
"239","Ika33"
"240","Ilumatobacteraceae"
"241","Immundisolibacteraceae"
"242","Intrasporangiaceae"
"243","Isosphaeraceae"
"244","Izemoplasmataceae"
"245","JG30-KF-CM45"
"246","Kaistiaceae"
"247","Kangiellaceae"
"248","KCLunmb-38-53"
"249","KD1-131"
"250","KD3-93"
"251","KF-JG30-B3"
"252","KI89A clade"
"253","Kiloniellaceae"
"254","Kineosporiaceae"
"255","Kiritimatiellaceae"
"256","koll11"
"257","Kordiimonadaceae"
"258","Kordiimonadales Incertae Sedis"
"259","Koribacteraceae"
"260","L21-RPul-D3"
"261","Labraceae"
"262","Lachnospiraceae"
"263","Lactobacillaceae"
"264","Latescibacteraceae"
"265","Legionellaceae"
"266","Lenti-02"
"267","Lentimicrobiaceae"
"268","Lentisphaeraceae"
"269","Leptolyngbyaceae"
"270","Leptospiraceae"
"271","Leptotrichiaceae"
"272","LF045"
"273","LH041"
"274","Limnotrichaceae"
"275","Listeriaceae"
"276","Litoricolaceae"
"277","LiUU-11-161"
"278","LK-44f"
"279","Longimicrobiaceae"
"280","LWQ8"
"281","Magnetococcaceae"
"282","Magnetospiraceae"
"283","Marinibaculum"
"284","Marinifilaceae"
"285","Marinilabiliaceae"
"286","Marinobacteraceae"
"287","Marinococcaceae"
"288","Marinomonadaceae"
"289","Mariprofundaceae"
"290","MAT-CR-H6-H10"
"291","MBAE14"
"292","Melioribacteraceae"
"293","Methanosarcinaceae"
"294","Methylacidiphilaceae"
"295","Methylococcaceae"
"296","Methyloligellaceae"
"297","Methylomonadaceae"
"298","Methylophagaceae"
"299","Methylophilaceae"
"300","Methylopilaceae"
"301","Micavibrionaceae"
"302","Microbacteriaceae"
"303","Microbulbiferaceae"
"304","Micrococcaceae"
"305","Microcystaceae"
"306","Micromonosporaceae"
"307","Micropepsaceae"
"308","Microscillaceae"
"309","Microtrichaceae"
"310","Moduliflexaceae"
"311","Monoglobaceae"
"312","Moraxellaceae"
"313","Morganellaceae"
"314","Moritellaceae"
"315","MSB-3C8"
"316","MSBL8"
"317","Muribaculaceae"
"318","MWH-UniP1 aquatic group"
"319","Mycobacteriaceae"
"320","Mycoplasmataceae"
"321","Myxococcaceae"
"322","NA"
"323","Nakamurellaceae"
"324","Nannocystaceae"
"325","Nanosalinaceae"
"326","Neisseriaceae"
"327","Nisaeaceae"
"328","Nitriliruptoraceae"
"329","Nitrincolaceae"
"330","Nitrosococcaceae"
"331","Nitrosomonadaceae"
"332","Nitrosopumilaceae"
"333","Nitrososphaeraceae"
"334","Nitrospinaceae"
"335","Nitrospiraceae"
"336","NK-L14"
"337","Nocardiaceae"
"338","Nocardioidaceae"
"339","Nocardiopsaceae"
"340","Nodosilineaceae"
"341","Nostocaceae"
"342","NS11-12 marine group"
"343","NS7 marine group"
"344","NS9 marine group"
"345","Obscuribacteraceae"
"346","Oceanibaculaceae"
"347","Oceanospirillaceae"
"348","OCS116 clade"
"349","Oleiphilaceae"
"350","Oligoflexaceae"
"351","Oligosphaeraceae"
"352","OM182 clade"
"353","Omnitrophaceae"
"354","Opitutaceae"
"355","Oscillatoriaceae"
"356","Oscillospiraceae"
"357","Oxalobacteraceae"
"358","Oxobacteraceae"
"359","P13-46"
"360","Paenibacillaceae"
"361","Paludibacteraceae"
"362","Paracaedibacteraceae"
"363","Parachlamydiaceae"
"364","Paraspirulinaceae"
"365","Parvibaculaceae"
"366","Parvularculaceae"
"367","Pasteurellaceae"
"368","Pedosphaeraceae"
"369","Peptococcaceae"
"370","Peptostreptococcaceae"
"371","Petrotogaceae"
"372","Phaselicystidaceae"
"373","Phormidesmiaceae"
"374","Phormidiaceae"
"375","PHOS-HE36"
"376","Phycisphaeraceae"
"377","Pirellulaceae"
"378","Piscirickettsiaceae"
"379","Planococcaceae"
"380","Pleomorphomonadaceae"
"381","Polyangiaceae"
"382","Porphyromonadaceae"
"383","Porticoccaceae"
"384","PRD18C08"
"385","Prevotellaceae"
"386","Prochloraceae"
"387","Prochlorotrichaceae"
"388","Prolixibacteraceae"
"389","Propionibacteriaceae"
"390","PS-B32"
"391","PS1 clade"
"392","Pseudanabaenaceae"
"393","Pseudoalteromonadaceae"
"394","Pseudohongiellaceae"
"395","Pseudomonadaceae"
"396","Pseudonocardiaceae"
"397","Psychromonadaceae"
"398","Puniceicoccaceae"
