"","x"
"1114","Rhodomicrobium"
"1115","Rhodopirellula"
"1116","Rhodopseudomonas"
"1117","Rhodovarius"
"1118","Rhodovastum"
"1119","Richelia HH01"
"1120","Rickettsia"
"1121","Rickettsiella"
"1122","Rikenellaceae RC9 gut group"
"1123","Rivicola"
"1124","Rivularia PCC-7116"
"1125","Robertkochia"
"1126","Robiginitalea"
"1127","Robiginitomaculum"
"1128","Romboutsia"
"1129","Roseateles"
"1130","Roseburia"
"1131","Roseiarcus"
"1132","Roseibacillus"
"1133","Roseibacterium"
"1134","Roseibium"
"1135","Roseicyclus"
"1136","Roseimarinus"
"1137","Roseimaritima"
"1138","Roseimicrobium"
"1139","Roseisalinus"
"1140","Roseisolibacter"
"1141","Roseitalea"
"1142","Roseivirga"
"1143","Roseivivax"
"1144","Rosenbergiella"
"1145","Roseobacter"
"1146","Roseobacter clade CHAB-I-5 lineage"
"1147","Roseobacter clade Marinomonas lineage"
"1148","Roseobacter clade NAC11-7 lineage"
"1149","Roseofilum AO1-A"
"1150","Roseomonas"
"1151","Roseovarius"
"1152","Rothia"
"1153","RS62 marine group"
"1154","Ruania"
"1155","Rubellimicrobium"
"1156","Rubidimonas"
"1157","Rubinisphaera"
"1158","Rubribacterium"
"1159","Rubricoccus"
"1160","Rubrimonas"
"1161","Rubripirellula"
"1162","Rubritalea"
"1163","Rubrivirga"
"1164","Rubrobacter"
"1165","Rudaea"
"1166","Ruegeria"
"1167","Ruminiclostridium"
"1168","Ruminococcus"
"1169","Rummeliibacillus"
"1170","Rurimicrobium"
"1171","S5-A14a"
"1172","Sabulilitoribacter"
"1173","Saccharicrinis"
"1174","Saccharospirillum"
"1175","Sagittula"
"1176","Salegentibacter"
"1177","Salimicrobium"
"1178","Salinarimonas"
"1179","Salinicola"
"1180","Salinihabitans"
"1181","Salinimicrobium"
"1182","Salinimonas"
"1183","Salinirepens"
"1184","Salinisphaera"
"1185","Salinispira"
"1186","Salinivibrio"
"1187","Salipaludibacillus"
"1188","Sandaracinobacter"
"1189","Sandaracinus"
"1190","Sanguibacter-Flavimobilis"
"1191","Saprospira"
"1192","SAR92 clade"
"1193","SBZC-1223"
"1194","SCGC-AB-539-J10"
"1195","SCGC AAA164-E04"
"1196","Schizothrix LEGE 07164"
"1197","Schlegelella"
"1198","Schleiferia"
"1199","SD04E11"
"1200","Sedimenticola"
"1201","Sedimentitalea"
"1202","Sediminibacterium"
"1203","Sediminimonas"
"1204","Sediminispirochaeta"
"1205","Sediminitomix"
"1206","SEEP-SRB1"
"1207","SEEP-SRB4"
"1208","Segetibacter"
"1209","Selenomonas"
"1210","Seonamhaeicola"
"1211","Serinicoccus"
"1212","Serratia"
"1213","SH-PL14"
"1214","Shewanella"
"1215","Shimia"
"1216","Siccibacter"
"1217","Silanimonas"
"1218","Silicimonas"
"1219","Silvanigrella"
"1220","Simiduia"
"1221","Simkania"
"1222","Skermanella"
"1223","SM1A02"
"1224","SM23-31"
"1225","Sneathiella"
"1226","Solirubrobacter"
"1227","Solobacterium"
"1228","Soortia"
"1229","SP3-e08"
"1230","Sphingoaurantiacus"
"1231","Sphingobacterium"
"1232","Sphingobium"
"1233","Sphingomicrobium"
"1234","Sphingomonas"
"1235","Sphingopyxis"
"1236","Sphingorhabdus"
"1237","Spirochaeta"
"1238","Spirochaeta 2"
"1239","Spirosoma"
"1240","Spirulina DRTO-55.2"
"1241","Spirulina P7"
"1242","Spongiibacter"
"1243","Spongiibacterium"
"1244","Spongiimicrobium"
"1245","Spongiimonas"
"1246","Spongiispira"
"1247","Spongiivirga"
"1248","Sporolactobacillus"
"1249","Sporomusa"
"1250","Stakelama"
"1251","Staphylococcus"
"1252","Stappia"
"1253","Starkeya"
"1254","Stenotrophobacter"
"1255","Stenotrophomonas"
"1256","Steroidobacter"
"1257","Stomatobaculum"
"1258","Streptococcus"
"1259","Streptomyces"
"1260","Streptosporangium"
"1261","SU2 symbiont group"
"1262","Subdoligranulum"
"1263","Subgroup 10"
"1264","Subgroup 23"
"1265","Sufflavibacter"
"1266","Sulfitobacter"
"1267","Sulfuriflexus"
"1268","Sulfurifustis"
"1269","Sulfurimonas"
"1270","Sulfurospirillum"
"1271","Sulfurovum"
"1272","Sumerlaea"
"1273","Sungkyunkwania"
"1274","Sunxiuqinia"
"1275","SUP05 cluster"
"1276","Sutterella"
"1277","Suttonella"
"1278","Sva0081 sediment group"
"1279","Sva0996 marine group"
"1280","SWB02"
"1281","Symphothece PCC-7002"
"1282","Symploca PCC-8002"
"1283","Synechococcus CC9902"
"1284","Synechococcus IR11"
"1285","Synechococcus MBIC10613"
"1286","Synechococcus PCC-7336"
"1287","Synechocystis CCALA 700"
"1288","Syntrophotalea"
"1289","SZB85"
"1290","T2WK15B57"
"1291","Tabrizicola"
"1292","Taeseokella"
"1293","Tagaea"
"1294","Tahibacter"
"1295","Taibaiella"
"1296","Tamlana"
"1297","Tannerella"
"1298","Tateyamaria"
"1299","Tatumella"
"1300","Telluria"
"1301","Temperatibacter"
"1302","Tenacibaculum"
"1303","Tepidamorphus"
"1304","Tepidibacter"
"1305","Tepidicaulis"
"1306","Tepidicella"
"1307","Tepidimonas"
"1308","Terasakiella"
"1309","Terrimonas"
"1310","Terrisporobacter"
"1311","Thalassobaculum"
"1312","Thalassobius"
"1313","Thalassococcus"
"1314","Thalassolituus"
"1315","Thalassomonas"
"1316","Thalassospira"
"1317","Thalassotalea"
"1318","Thaumasiovibrio"
"1319","Thermicanus"
"1320","Thermoactinomyces"
"1321","Thermoanaerobacterium"
"1322","Thermoflexus"
"1323","Thermomarinilinea"
"1324","Thermomonas"
"1325","Thermopetrobacter"
"1326","Thermostilla"
"1327","Thermotoga"
"1328","Thermus"
"1329","Thioalkalispira-Sulfurivermis"
"1330","Thiobacillus"
"1331","Thioclava"
"1332","Thioflexothrix"
"1333","Thiogranum"
"1334","Thiohalobacter"
"1335","Thiohalocapsa"
"1336","Thiohalophilus"
"1337","Thiolapillus"
"1338","Thiomargarita"
"1339","Thiomicrorhabdus"
"1340","Thiothrix"
"1341","Thiovulum"
"1342","Tianweitania"
"1343","Tistlia"
"1344","Tistrella"
"1345","TM7a"
"1346","TM7x"
"1347","Tranquillimonas"
"1348","Treponema"
"1349","Trichococcus"
"1350","Trichodesmium IMS101"
"1351","Tropicibacter"
"1352","Tropicimonas"
"1353","Truepera"
"1354","Tsukamurella"
"1355","Tundrisphaera"
"1356","Tunicatimonas"
"1357","Turicella"
"1358","Turneriella"
"1359","Tychonema CCAP 1459-11B"
"1360","UCG-002"
"1361","UCG-004"
"1362","UCG-012"
"1363","UKL13-1"
"1364","Ulvibacter"
"1365","Umboniibacter"
"1366","Undibacterium"
"1367","Urania-1B-19 marine sediment group"
"1368","UTBCD1"
"1369","Vagococcus"
"1370","Vallitalea"
"1371","Vampirovibrio"
"1372","Variovorax"
"1373","Veillonella"
"1374","Ventosimonas"
"1375","Verruc-01"
"1376","Verticiella"
"1377","Vibrio"
"1378","Vibrionimonas"
"1379","Vicinamibacter"
"1380","Vicingus"
"1381","Vitellibacter"
"1382","Vulcaniibacterium"
"1383","W5053"
"1384","Waddlia"
"1385","wb1-P19"
"1386","WDS1C4"
"1387","Weeksella"
"1388","Weissella"
"1389","Wenxinia"
"1390","Wenyingzhuangia"
"1391","Wenzhouxiangella"
"1392","Williamsia"
"1393","Winogradskyella"
"1394","Woeseia"
"1395","Woodsholea"
"1396","Xanthobacter"
"1397","Xanthomonas"
"1398","Xenococcus PCC-7305"
"1399","XY-R5"
"1400","Xylophilus"
"1401","Yangia"
"1402","YC-ZSS-LKJ90"
"1403","Yersinia"
"1404","Yoonia-Loktanella"
"1405","Youhaiella"
"1406","Z-35"
"1407","Z195MB87"
"1408","Zeaxanthinibacter"
"1409","Zhizhongheella"
"1410","Zobellia"
"1411","ZOR0006"
"1412","Zunongwangia"
