"name","Incubation","Wild","Benthic","Pelagic","CharlesBrown","CrooksCastle","Pelagic.CB","Pelagic.CC","Benthic.CB","Benthic.CC"
19,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Hyphomonadaceae_unassigned",NA,NA,"Erythrobacter","Thalassotalea","Streptococcus","Pirellula","Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Parvularculaceae_unassigned"
20,NA,NA,"Marinicaulis",NA,NA,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_unassigned_unassigned","Pseudoalteromonas","Staphylococcus","Rhodopirellula","Bacteria_Proteobacteria_Alphaproteobacteria_Micavibrionales_Micavibrionaceae_unassigned"
21,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Parvularculaceae_unassigned",NA,NA,"Woeseia","Vibrio","SM1A02","Bacteria_Planctomycetota_Planctomycetes_Pirellulales_Pirellulaceae_unassigned","Bacteria_Proteobacteria_Alphaproteobacteria_Parvibaculales_unassigned_unassigned"
22,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Parvibaculales_unassigned_unassigned",NA,NA,"Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_DEV007_unassigned","Acinetobacter","Bacteria_Planctomycetota_Phycisphaerae_Phycisphaerales_Phycisphaeraceae_unassigned","Rubinisphaera","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methyloligellaceae_unassigned"
23,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methyloligellaceae_unassigned",NA,NA,NA,"Woeseia","Rhodopirellula","Bacteria_Planctomycetota_Planctomycetes_Planctomycetales_Rubinisphaeraceae_unassigned","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_unassigned"
24,NA,NA,"Labrenzia",NA,NA,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_unassigned","Bacteria_Planctomycetota_Planctomycetes_Planctomycetales_unassigned_unassigned","Actibacterium"
25,NA,NA,"Actibacterium",NA,NA,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Parvularculaceae_unassigned","Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Hyphomonadaceae_unassigned","Limibaculum"
26,NA,NA,"Limibaculum",NA,NA,NA,NA,"Pelagibius","Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Parvularculaceae_unassigned","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_unassigned"
27,NA,NA,"Marinibacterium",NA,NA,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Kiloniellales_Kiloniellaceae_unassigned","Bacteria_Proteobacteria_Alphaproteobacteria_Parvibaculales_unassigned_unassigned","Altererythrobacter"
28,NA,NA,"Ruegeria",NA,NA,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Parvibaculales_unassigned_unassigned","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methyloligellaceae_unassigned","Erythrobacter"
